application,port,lastHeartbeatMillis,heartbeat,id,event,type,ipAddr,timestamp,status,
gossiper-6993327075376753060,3001,0,1,gossiper-6993327075376753060,start,gossiper,162.199.146.94,1683664016635,New,
gossiper-6993327075376753060,null,null,null,null,NewApp,null,null,1683664016636,null,
gossiper-6993327075376753060,3001,0,138,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683664016870,New,
gossiper-6993327075376753060,3001,0,1,gossiper-3307033919215163407,NewApp,gossiper,54.188.42.102,1683664016870.1,New,
gossiper-6993327075376753060,3001,1683664017775,2,gossiper-6993327075376753060,BecameOk,gossiper,162.199.146.94,1683664017775,Ok,
gossiper-3298888930992692116,null,null,null,null,start,null,null,1683660489897,null,
gossiper-3298888930992692116,3001,0,1,gossiper-3298888930992692116,NewApp,gossiper,52.124.37.97,1683660489900,New,
gossiper-3298888930992692116,3001,0,350,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683660490113,New,
gossiper-3298888930992692116,3001,0,1,gossiper-3307033919215163407,NewApp,gossiper,54.188.42.102,1683660490113.1,New,
gossiper-3298888930992692116,3001,1683660491019,2,gossiper-3298888930992692116,BecameOk,gossiper,52.124.37.97,1683660491019,Ok,
gossiper-3298888930992692116,null,null,null,null,start,null,null,1683660955362,null,
gossiper-3298888930992692116,3001,0,1,gossiper-3298888930992692116,NewApp,gossiper,52.124.37.97,1683660955367,New,
gossiper-3298888930992692116,3001,0,37,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683660955578,New,
gossiper-3298888930992692116,3001,1683660956489,2,gossiper-3298888930992692116,BecameOk,gossiper,52.124.37.97,1683660956490,Ok,
gossiper-3298888930992692116,null,null,null,null,start,null,null,1683661111373,null,
gossiper-3298888930992692116,3001,0,1,gossiper-3298888930992692116,NewApp,gossiper,52.124.37.97,1683661111378,New,
gossiper-3298888930992692116,3001,0,1,gossiper-3307033919215163407,NewApp,gossiper,54.188.42.102,1683661111593,New,
gossiper-3298888930992692116,3001,0,93,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683661111593.1,New,
gossiper-3298888930992692116,3001,1683661112500,2,gossiper-3298888930992692116,BecameOk,gossiper,52.124.37.97,1683661112500,Ok,
gossiper-3298888930992692116,null,null,null,null,start,null,null,1683661225602,null,
gossiper-3298888930992692116,3001,0,1,gossiper-3298888930992692116,NewApp,gossiper,52.124.37.97,1683661225606,New,
gossiper-3298888930992692116,3001,0,220,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683661225815,New,
gossiper-3298888930992692116,3001,0,1,gossiper-3307033919215163407,NewApp,gossiper,54.188.42.102,1683661225815.1,New,
gossiper-3298888930992692116,3001,1683661226721,2,gossiper-3298888930992692116,BecameOk,gossiper,52.124.37.97,1683661226721,Ok,
gossiper-3298888930992692116,null,null,null,null,start,null,null,1683661252155,null,
gossiper-3298888930992692116,3001,0,1,gossiper-3298888930992692116,NewApp,gossiper,52.124.37.97,1683661252158,New,
gossiper-3298888930992692116,3001,0,250,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683661252373,New,
gossiper-3298888930992692116,3001,0,1,gossiper-3307033919215163407,NewApp,gossiper,54.188.42.102,1683661252373.1,New,
gossiper-3298888930992692116,3001,1683661253278,2,gossiper-3298888930992692116,BecameOk,gossiper,52.124.37.97,1683661253278,Ok,
gossiper-3298888930992692116,null,null,null,null,start,null,null,1683661517719,null,
gossiper-3298888930992692116,3001,0,1,gossiper-3298888930992692116,NewApp,gossiper,52.124.37.97,1683661517724,New,
gossiper-3298888930992692116,3001,0,545,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683661517942,New,
gossiper-3298888930992692116,3001,0,1,gossiper-3307033919215163407,NewApp,gossiper,54.188.42.102,1683661517942.1,New,
gossiper-3298888930992692116,3001,1683661518848,2,gossiper-3298888930992692116,BecameOk,gossiper,52.124.37.97,1683661518848,Ok,
gossiper-3298888930992692116,null,null,null,null,start,null,null,1683662504892,null,
gossiper-3298888930992692116,3001,0,1,gossiper-3298888930992692116,NewApp,gossiper,52.124.37.97,1683662504896,New,
gossiper-3298888930992692116,3001,0,129,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683662505113,New,
gossiper-3298888930992692116,3001,0,1,gossiper-3307033919215163407,NewApp,gossiper,54.188.42.102,1683662505113.1,New,
gossiper-3298888930992692116,3001,1683662506023,2,gossiper-3298888930992692116,BecameOk,gossiper,52.124.37.97,1683662506023,Ok,
gossiper-3298888930992692116,null,null,null,null,start,null,null,1683662742946,null,
gossiper-3298888930992692116,3001,0,1,gossiper-3298888930992692116,NewApp,gossiper,52.124.37.97,1683662742949,New,
gossiper-3298888930992692116,3001,0,98,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683662743167,New,
gossiper-3298888930992692116,3001,0,1,gossiper-3307033919215163407,NewApp,gossiper,54.188.42.102,1683662743167.1,New,
gossiper-3298888930992692116,3001,1683662744074,2,gossiper-3298888930992692116,BecameOk,gossiper,52.124.37.97,1683662744074,Ok,
gossiper-9059160050046781197,null,null,null,null,start,null,null,1683660910755,null,
gossiper-9059160050046781197,3001,0,1,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683660910774,New,
gossiper-9059160050046781197,56678,0,1,hb-1234,NewApp,Heartbeat,127.0.0.1,1683660910980,New,
gossiper-9059160050046781197,3001,1683660911753,2,gossiper-9059160050046781197,BecameOk,gossiper,54.191.179.92,1683660911754,Ok,
gossiper-9059160050046781197,56678,1683660911903,2,hb-1234,BecameOk,Heartbeat,127.0.0.1,1683660911904,Ok,
gossiper-9059160050046781197,null,null,null,null,start,null,null,1683660923051,null,
gossiper-9059160050046781197,3001,0,1,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683660923070,New,
gossiper-9059160050046781197,3001,1683660924030,2,gossiper-9059160050046781197,BecameOk,gossiper,54.191.179.92,1683660924035,Ok,
gossiper-9059160050046781197,56678,0,1,hb-1234,NewApp,Heartbeat,127.0.0.1,1683660924038,New,
gossiper-9059160050046781197,56678,1683660924949,2,hb-1234,BecameOk,Heartbeat,127.0.0.1,1683660924949,Ok,
gossiper-9059160050046781197,3001,0,1,gossiper-3298888930992692116,NewApp,gossiper,52.124.37.97,1683660955561,New,
gossiper-9059160050046781197,null,null,null,null,start,null,null,1683661028189,null,
gossiper-9059160050046781197,3001,0,1,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683661028207,New,
gossiper-9059160050046781197,3001,1683661029181,2,gossiper-9059160050046781197,BecameOk,gossiper,54.191.179.92,1683661029181,Ok,
gossiper-9059160050046781197,56678,0,1,hb-1234,NewApp,Heartbeat,127.0.0.1,1683661029374,New,
gossiper-9059160050046781197,56678,1683661030295,2,hb-1234,BecameOk,Heartbeat,127.0.0.1,1683661030295,Ok,
gossiper-9059160050046781197,3001,0,1,gossiper-3307033919215163407,NewApp,gossiper,54.188.42.102,1683661060578,New,
gossiper-9059160050046781197,56678,1683661088488,60,hb-1234,WentIncommunicado,Heartbeat,127.0.0.1,1683661098498,Incommunicado,
gossiper-9059160050046781197,3001,0,1,gossiper-3298888930992692116,NewApp,gossiper,52.124.37.97,1683661111573,New,
gossiper-9059160050046781197,null,null,null,null,start,null,null,1683662389337,null,
gossiper-9059160050046781197,3001,0,1,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683662389367,New,
gossiper-9059160050046781197,3001,1683662390328,2,gossiper-9059160050046781197,BecameOk,gossiper,54.191.179.92,1683662390331,Ok,
gossiper-9059160050046781197,3001,0,1,gossiper-3307033919215163407,NewApp,gossiper,54.188.42.102,1683662424018,New,
gossiper-9059160050046781197,3001,1683662436652,1,gossiper-3307033919215163407,BecameOk,gossiper,54.188.42.102,1683662436653,New,
gossiper-9059160050046781197,56678,0,1,hb-1234,NewApp,Heartbeat,127.0.0.1,1683662441661,New,
gossiper-9059160050046781197,56678,1683662442637,2,hb-1234,BecameOk,Heartbeat,127.0.0.1,1683662442637,Ok,
gossiper-9059160050046781197,3001,1683662440252,1,gossiper-3307033919215163407,WentIncommunicado,gossiper,54.188.42.102,1683662450264,Incommunicado,
gossiper-9059160050046781197,56678,1683662444641,4,hb-1234,WentIncommunicado,Heartbeat,127.0.0.1,1683662454642,Incommunicado,
gossiper-9059160050046781197,3001,1683662459149,1,gossiper-3307033919215163407,BecameOk,gossiper,54.188.42.102,1683662459150,Incommunicado,
gossiper-9059160050046781197,3001,1683662462750,1,gossiper-3307033919215163407,WentIncommunicado,gossiper,54.188.42.102,1683662472751,Incommunicado,
gossiper-9059160050046781197,3001,1683662476242,1,gossiper-3307033919215163407,BecameOk,gossiper,54.188.42.102,1683662476242,Incommunicado,
gossiper-9059160050046781197,3001,1683662485241,1,gossiper-3307033919215163407,WentIncommunicado,gossiper,54.188.42.102,1683662495243,Incommunicado,
gossiper-9059160050046781197,3001,0,1,gossiper-3298888930992692116,NewApp,gossiper,52.124.37.97,1683662505053,New,
gossiper-9059160050046781197,3001,1683662508632,1,gossiper-3307033919215163407,BecameOk,gossiper,54.188.42.102,1683662508632,Incommunicado,
gossiper-9059160050046781197,3001,1683662508632,1,gossiper-3307033919215163407,WentIncommunicado,gossiper,54.188.42.102,1683662518633,Incommunicado,
gossiper-9059160050046781197,null,null,null,null,start,null,null,1683662655279,null,
gossiper-9059160050046781197,3001,0,1,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683662655303,New,
gossiper-9059160050046781197,3001,1683662656273,2,gossiper-9059160050046781197,BecameOk,gossiper,54.191.179.92,1683662656274,Ok,
gossiper-9059160050046781197,3001,0,1,gossiper-3307033919215163407,NewApp,gossiper,54.188.42.102,1683662685876,New,
gossiper-9059160050046781197,3001,1683662694027,1,gossiper-3307033919215163407,BecameOk,gossiper,54.188.42.102,1683662694027,New,
gossiper-9059160050046781197,56678,0,1,hb-1234,NewApp,Heartbeat,127.0.0.1,1683662708010,New,
gossiper-9059160050046781197,56678,1683662709007,2,hb-1234,BecameOk,Heartbeat,127.0.0.1,1683662709007,Ok,
gossiper-9059160050046781197,3001,1683662703923,1,gossiper-3307033919215163407,WentIncommunicado,gossiper,54.188.42.102,1683662713932,Incommunicado,
gossiper-9059160050046781197,3001,1683662716519,1,gossiper-3307033919215163407,BecameOk,gossiper,54.188.42.102,1683662716520,Incommunicado,
gossiper-9059160050046781197,3001,1683662716519,1,gossiper-3307033919215163407,WentIncommunicado,gossiper,54.188.42.102,1683662726520,Incommunicado,
gossiper-9059160050046781197,3001,1683662739912,1,gossiper-3307033919215163407,BecameOk,gossiper,54.188.42.102,1683662739912,Incommunicado,
gossiper-9059160050046781197,3001,0,1,gossiper-3298888930992692116,NewApp,gossiper,52.124.37.97,1683662743106,New,
gossiper-9059160050046781197,3001,1683662747111,1,gossiper-3307033919215163407,WentIncommunicado,gossiper,54.188.42.102,1683662757112,Incommunicado,
gossiper-9059160050046781197,3001,1683662757724,1,gossiper-3298888930992692116,BecameOk,gossiper,52.124.37.97,1683662757724,New,
gossiper-9059160050046781197,3001,1683662757724,1,gossiper-3298888930992692116,WentIncommunicado,gossiper,52.124.37.97,1683662767725,Incommunicado,
gossiper-9059160050046781197,56678,1683662763599,53,hb-1234,WentIncommunicado,Heartbeat,127.0.0.1,1683662773604,Incommunicado,
gossiper-9059160050046781197,null,null,null,null,start,null,null,1683663279357,null,
gossiper-9059160050046781197,3001,0,1,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683663279378,New,
gossiper-9059160050046781197,3001,1683663280343,2,gossiper-9059160050046781197,BecameOk,gossiper,54.191.179.92,1683663280343,Ok,
gossiper-9059160050046781197,56678,0,1,hb-1234,NewApp,Heartbeat,127.0.0.1,1683663280804,New,
gossiper-9059160050046781197,3001,0,1,gossiper-3298888930992692116,NewApp,gossiper,52.124.37.97,1683663280804.1,New,
gossiper-9059160050046781197,3001,0,524,gossiper-3307033919215163407,NewApp,gossiper,54.188.42.102,1683663280804.2,New,
gossiper-9059160050046781197,3001,1683663284890,524,gossiper-3307033919215163407,BecameOk,gossiper,54.188.42.102,1683663284891,New,
gossiper-9059160050046781197,3001,1683663295130,524,gossiper-3307033919215163407,WentIncommunicado,gossiper,54.188.42.102,1683663305139,Incommunicado,
gossiper-9059160050046781197,null,null,null,null,start,null,null,1683663893440,null,
gossiper-9059160050046781197,3001,0,1,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683663893463,New,
gossiper-9059160050046781197,3001,1683663894427,2,gossiper-9059160050046781197,BecameOk,gossiper,54.191.179.92,1683663894427,Ok,
gossiper-9059160050046781197,3001,0,1,gossiper-3307033919215163407,NewApp,gossiper,54.188.42.102,1683663933606,New,
gossiper-9059160050046781197,3001,1683663935446,1,gossiper-3307033919215163407,BecameOk,gossiper,54.188.42.102,1683663935446,New,
gossiper-9059160050046781197,56678,0,1,hb-1234,NewApp,Heartbeat,127.0.0.1,1683663954550,New,
gossiper-9059160050046781197,56678,1683663955509,2,hb-1234,BecameOk,Heartbeat,127.0.0.1,1683663955509,Ok,
gossiper-9059160050046781197,3001,0,1,gossiper-6993327075376753060,NewApp,gossiper,162.199.146.94,1683664016861,New,
gossiper-9059160050046781197,3001,1683664019742,1,gossiper-6993327075376753060,BecameOk,gossiper,162.199.146.94,1683664019743,New,
gossiper-9059160050046781197,3001,1683664022722,1,gossiper-3307033919215163407,WentIncommunicado,gossiper,54.188.42.102,1683664032733,Incommunicado,
gossiper-9059160050046781197,3001,1683664038016,1,gossiper-3307033919215163407,BecameOk,gossiper,54.188.42.102,1683664038016,Incommunicado,
gossiper-9059160050046781197,3001,1683664063205,1,gossiper-3307033919215163407,WentIncommunicado,gossiper,54.188.42.102,1683664073206,Incommunicado,
gossiper-9059160050046781197,3001,1683664063205,1,gossiper-6993327075376753060,WentIncommunicado,gossiper,162.199.146.94,1683664073210,Incommunicado,
gossiper-9059160050046781197,56678,1683664078949,125,hb-1234,WentIncommunicado,Heartbeat,127.0.0.1,1683664088950,Incommunicado,
gossiper-9059160050046781197,56678,1683664148260,126,hb-1234,BecameOk,Heartbeat,127.0.0.1,1683664148260,Ok,
gossiper-9059160050046781197,56678,1683664158502,135,hb-1234,WentIncommunicado,Heartbeat,127.0.0.1,1683664168503,Incommunicado,
gossiper-9059160050046781197,null,null,null,null,start,null,null,1683664534401,null,
gossiper-9059160050046781197,3001,0,1,gossiper-9059160050046781197,NewApp,gossiper,54.191.179.92,1683664534415,New,
gossiper-9059160050046781197,3001,1683664535395,2,gossiper-9059160050046781197,BecameOk,gossiper,54.191.179.92,1683664535395,Ok,
gossiper-9059160050046781197,3001,0,1,gossiper-3307033919215163407,NewApp,gossiper,54.188.42.102,1683664568668,New,
gossiper-9059160050046781197,3001,1683664569608,1,gossiper-3307033919215163407,BecameOk,gossiper,54.188.42.102,1683664569609,New,
gossiper-9059160050046781197,56678,0,1,hb-1234,NewApp,Heartbeat,127.0.0.1,1683664601473,New,
gossiper-9059160050046781197,56678,1683664602466,2,hb-1234,BecameOk,Heartbeat,127.0.0.1,1683664602466,Ok,
gossiper-9059160050046781197,56678,1683664603473,3,hb-1234,WentIncommunicado,Heartbeat,127.0.0.1,1683664613485,Incommunicado,
gossiper-9059160050046781197,3001,0,1,gossiper-6417350998124194595,NewApp,gossiper,162.199.146.94,1683664633755,New,
gossiper-9059160050046781197,3001,1683664634841,1,gossiper-6417350998124194595,BecameOk,gossiper,162.199.146.94,1683664634841,New,
